0          References for Cross Section of tCO       Total   
tCO is equivalent to CO(a^3Pi)                                                  
                                                                                
0          References for Cross Section of tCO       CO+     
tCO is equivalent to CO(a^3Pi)                                                  
Branching ratio assumed to be the same as that for the ground state.            
                                                                                
0          References for Cross Section of tCO       C+O     
tCO is equivalent to CO(a^3Pi)                                                  
Branching ratio assumed to be the same as that for the ground state.            
                                                                                
0          References for Cross Section of tCO       O+C     
tCO is equivalent to CO(a^3Pi)                                                  
Branching ratio assumed to be the same as that for the ground state.            
                                                                                
0 Branching ratio for tCO      Total        4 branches
 Lambda  Total   CO+      C+O      O+C      C/O     
 1230.6 1.79E-17 1.06E-17 0.00E+00 0.00E+00 7.26E-18
 1232.9 3.47E-17 2.14E-17 0.00E+00 0.00E+00 1.33E-17
 1234.4 2.68E-17 1.30E-17 0.00E+00 0.00E+00 1.38E-17
 1235.2 2.91E-17 1.29E-17 0.00E+00 0.00E+00 1.62E-17
 1237.2 2.35E-17 1.03E-17 0.00E+00 0.00E+00 1.32E-17
 1238.0 2.52E-17 1.13E-17 0.00E+00 0.00E+00 1.39E-17
 1238.3 2.76E-17 1.25E-17 0.00E+00 0.00E+00 1.51E-17
 1239.8 3.07E-17 1.61E-17 0.00E+00 0.00E+00 1.46E-17
 1242.8 1.86E-17 8.44E-18 0.00E+00 0.00E+00 1.02E-17
 1247.0 1.19E-17 8.17E-18 0.00E+00 0.00E+00 3.73E-18
 1250.8 3.13E-17 2.18E-17 0.00E+00 0.00E+00 9.47E-18
 1252.1 3.90E-17 2.70E-17 0.00E+00 0.00E+00 1.20E-17
 1253.4 1.66E-17 1.13E-17 0.00E+00 0.00E+00 5.26E-18
 1256.5 3.87E-17 2.28E-17 0.00E+00 0.00E+00 1.59E-17
 1257.5 3.69E-17 1.93E-17 0.00E+00 0.00E+00 1.76E-17
 1259.3 3.75E-17 1.48E-17 0.00E+00 0.00E+00 2.27E-17
 1263.5 1.82E-17 8.28E-18 0.00E+00 0.00E+00 9.92E-18
 1265.0 2.10E-17 1.09E-17 0.00E+00 0.00E+00 1.01E-17
 1267.9 1.25E-17 7.26E-18 0.00E+00 0.00E+00 5.24E-18
 1272.1 1.61E-17 1.09E-17 0.00E+00 0.00E+00 5.18E-18
 1275.5 5.22E-17 2.95E-17 0.00E+00 0.00E+00 2.27E-17
 1278.6 2.01E-17 9.66E-18 0.00E+00 0.00E+00 1.04E-17
 1279.7 2.42E-17 1.46E-17 0.00E+00 0.00E+00 9.60E-18
 1282.0 3.72E-17 2.19E-17 0.00E+00 0.00E+00 1.53E-17
 1286.5 1.56E-17 7.76E-18 0.00E+00 0.00E+00 7.84E-18
 1288.6 2.04E-17 1.16E-17 0.00E+00 0.00E+00 8.84E-18
 1291.5 1.42E-17 7.57E-18 0.00E+00 0.00E+00 6.63E-18
 1292.8 1.65E-17 1.03E-17 0.00E+00 0.00E+00 6.25E-18
 1293.8 1.71E-17 1.16E-17 0.00E+00 0.00E+00 5.50E-18
 1296.0 5.21E-17 3.13E-17 0.00E+00 0.00E+00 2.08E-17
 1297.3 4.66E-17 2.53E-17 0.00E+00 0.00E+00 2.13E-17
 1299.2 5.62E-17 2.36E-17 0.00E+00 0.00E+00 3.26E-17
 1301.8 2.50E-17 7.50E-18 0.00E+00 0.00E+00 1.75E-17
 1303.7 2.29E-17 1.26E-17 0.00E+00 0.00E+00 1.03E-17
 1306.3 2.50E-17 1.56E-17 0.00E+00 0.00E+00 9.42E-18
 1312.5 1.55E-17 1.00E-17 0.00E+00 0.00E+00 5.48E-18
 1317.0 1.95E-17 1.24E-17 0.00E+00 0.00E+00 7.07E-18
 1318.6 3.44E-17 1.95E-17 0.00E+00 0.00E+00 1.49E-17
 1321.0 2.79E-17 1.17E-17 0.00E+00 0.00E+00 1.62E-17
 1323.4 7.56E-17 3.85E-17 0.00E+00 0.00E+00 3.71E-17
 1327.2 2.46E-17 1.01E-17 0.00E+00 0.00E+00 1.45E-17
 1331.8 1.79E-17 1.07E-17 0.00E+00 0.00E+00 7.23E-18
 1334.0 2.11E-17 1.31E-17 0.00E+00 0.00E+00 7.95E-18
 1339.4 1.30E-17 9.10E-18 0.00E+00 0.00E+00 3.90E-18
 1343.2 4.28E-17 3.09E-17 0.00E+00 0.00E+00 1.19E-17
 1348.6 2.08E-17 1.27E-17 0.00E+00 0.00E+00 8.11E-18
 1350.3 2.23E-17 1.46E-17 0.00E+00 0.00E+00 7.69E-18
 1353.0 5.77E-17 3.23E-17 0.00E+00 0.00E+00 2.54E-17
 1354.4 2.57E-17 1.01E-17 0.00E+00 0.00E+00 1.56E-17
 1357.9 2.46E-17 1.51E-17 0.00E+00 0.00E+00 9.47E-18
 1361.2 1.69E-17 1.23E-17 0.00E+00 0.00E+00 4.61E-18
 1362.6 1.88E-17 1.34E-17 0.00E+00 0.00E+00 5.37E-18
 1366.7 1.38E-17 1.06E-17 0.00E+00 0.00E+00 3.18E-18
 1370.9 3.24E-17 2.39E-17 0.00E+00 0.00E+00 8.53E-18
 1373.4 2.27E-17 1.03E-17 0.00E+00 0.00E+00 1.24E-17
 1376.1 2.76E-17 1.84E-17 0.00E+00 0.00E+00 9.19E-18
 1377.8 2.39E-17 1.65E-17 0.00E+00 0.00E+00 7.40E-18
 1380.0 3.63E-17 2.84E-17 0.00E+00 0.00E+00 7.88E-18
 1383.4 1.57E-17 9.89E-18 0.00E+00 0.00E+00 5.81E-18
 1385.9 2.12E-17 1.87E-17 0.00E+00 0.00E+00 2.46E-18
 1388.4 1.71E-17 1.18E-17 0.00E+00 0.00E+00 5.26E-18
 1392.9 2.16E-17 1.68E-17 0.00E+00 0.00E+00 4.80E-18
 1395.9 1.60E-17 1.34E-17 0.00E+00 0.00E+00 2.64E-18
 1396.5 1.81E-17 1.55E-17 0.00E+00 0.00E+00 2.62E-18
 1398.8 1.90E-17 1.74E-17 0.00E+00 0.00E+00 1.60E-18
 1400.7 1.86E-17 1.69E-17 0.00E+00 0.00E+00 1.72E-18
 1403.5 3.38E-17 3.15E-17 0.00E+00 0.00E+00 2.30E-18
 1410.0 2.38E-17 1.95E-17 0.00E+00 0.00E+00 4.34E-18
 1414.3 1.34E-17 1.23E-17 0.00E+00 0.00E+00 1.13E-18
 1417.7 1.71E-17 1.62E-17 0.00E+00 0.00E+00 8.57E-19
 1422.8 1.49E-17 1.26E-17 0.00E+00 0.00E+00 2.31E-18
 1425.6 2.44E-17 2.17E-17 0.00E+00 0.00E+00 2.75E-18
 1428.5 1.75E-17 1.53E-17 0.00E+00 0.00E+00 2.23E-18
 1430.5 2.15E-17 1.97E-17 0.00E+00 0.00E+00 1.76E-18
 1432.2 2.20E-17 2.03E-17 0.00E+00 0.00E+00 1.74E-18
 1433.7 1.90E-17 1.73E-17 0.00E+00 0.00E+00 1.71E-18
 1437.1 3.13E-17 2.96E-17 0.00E+00 0.00E+00 1.74E-18
 1438.5 2.98E-17 2.65E-17 0.00E+00 0.00E+00 3.34E-18
 1440.0 2.73E-17 2.27E-17 0.00E+00 0.00E+00 4.64E-18
 1445.7 2.84E-17 2.07E-17 0.00E+00 0.00E+00 7.66E-18
 1448.3 2.61E-17 1.69E-17 0.00E+00 0.00E+00 9.17E-18
 1449.5 2.61E-17 1.70E-17 0.00E+00 0.00E+00 9.08E-18
 1450.6 2.57E-17 1.71E-17 0.00E+00 0.00E+00 8.59E-18
 1453.3 2.53E-17 1.72E-17 0.00E+00 0.00E+00 8.08E-18
 1455.0 2.72E-17 1.93E-17 0.00E+00 0.00E+00 7.95E-18
 1460.8 2.09E-17 1.47E-17 0.00E+00 0.00E+00 6.21E-18
 1463.7 2.70E-17 1.76E-17 0.00E+00 0.00E+00 9.38E-18
 1466.0 2.09E-17 1.52E-17 0.00E+00 0.00E+00 5.71E-18
 1466.9 2.01E-17 1.53E-17 0.00E+00 0.00E+00 4.81E-18
 1469.0 1.86E-17 1.61E-17 0.00E+00 0.00E+00 2.49E-18
 1471.9 2.53E-17 2.24E-17 0.00E+00 0.00E+00 2.88E-18
 1472.5 2.57E-17 2.21E-17 0.00E+00 0.00E+00 3.63E-18
 1475.4 3.43E-17 2.19E-17 0.00E+00 0.00E+00 1.24E-17
 1480.7 3.05E-17 2.13E-17 0.00E+00 0.00E+00 9.24E-18
 1482.2 3.54E-17 2.24E-17 0.00E+00 0.00E+00 1.30E-17
 1485.4 3.20E-17 1.98E-17 0.00E+00 0.00E+00 1.22E-17
 1488.1 3.79E-17 2.45E-17 0.00E+00 0.00E+00 1.34E-17
 1491.0 4.09E-17 2.14E-17 0.00E+00 0.00E+00 1.95E-17
 1492.5 4.25E-17 2.33E-17 0.00E+00 0.00E+00 1.92E-17
 1494.6 3.58E-17 2.02E-17 0.00E+00 0.00E+00 1.56E-17
 1498.5 2.64E-17 1.79E-17 0.00E+00 0.00E+00 8.51E-18
 1501.4 4.17E-17 2.59E-17 0.00E+00 0.00E+00 1.58E-17
 1503.5 3.63E-17 2.53E-17 0.00E+00 0.00E+00 1.10E-17
 1505.9 5.02E-17 3.70E-17 0.00E+00 0.00E+00 1.32E-17
 1508.3 2.66E-17 1.83E-17 0.00E+00 0.00E+00 8.31E-18
 1511.9 2.36E-17 1.65E-17 0.00E+00 0.00E+00 7.15E-18
 1513.4 2.44E-17 1.58E-17 0.00E+00 0.00E+00 8.56E-18
 1516.4 2.24E-17 1.45E-17 0.00E+00 0.00E+00 7.88E-18
 1519.4 2.62E-17 2.09E-17 0.00E+00 0.00E+00 5.28E-18
 1522.4 2.53E-17 1.54E-17 0.00E+00 0.00E+00 9.94E-18
 1523.9 3.91E-17 2.18E-17 0.00E+00 0.00E+00 1.73E-17
 1526.3 3.39E-17 1.79E-17 0.00E+00 0.00E+00 1.60E-17
 1531.5 4.47E-17 2.63E-17 0.00E+00 0.00E+00 1.84E-17
 1534.2 4.46E-17 3.11E-17 0.00E+00 0.00E+00 1.35E-17
 1535.1 5.69E-17 3.96E-17 0.00E+00 0.00E+00 1.73E-17
 1543.6 2.67E-17 1.50E-17 0.00E+00 0.00E+00 1.17E-17
 1545.2 3.35E-17 1.89E-17 0.00E+00 0.00E+00 1.46E-17
 1547.3 2.34E-17 1.46E-17 0.00E+00 0.00E+00 8.77E-18
 1552.8 2.77E-17 0.00E+00 0.00E+00 0.00E+00 2.77E-17
 1558.9 6.44E-17 0.00E+00 0.00E+00 0.00E+00 6.44E-17
 1562.0 5.92E-17 0.00E+00 0.00E+00 0.00E+00 5.92E-17
 1562.9 6.59E-17 0.00E+00 0.00E+00 0.00E+00 6.59E-17
 1571.3 2.29E-17 0.00E+00 0.00E+00 0.00E+00 2.29E-17
 1574.4 3.83E-17 0.00E+00 0.00E+00 0.00E+00 3.83E-17
 1577.5 2.90E-17 0.00E+00 0.00E+00 0.00E+00 2.90E-17
 1582.8 8.56E-17 0.00E+00 0.00E+00 0.00E+00 8.56E-17
 1589.3 2.27E-17 0.00E+00 0.00E+00 0.00E+00 2.27E-17
 1590.6 1.54E-17 0.00E+00 0.00E+00 0.00E+00 1.54E-17
 1593.7 3.76E-17 0.00E+00 0.00E+00 0.00E+00 3.76E-17
 1597.2 2.38E-17 0.00E+00 0.00E+00 0.00E+00 2.38E-17
